file,doc_type,label,tamper_type,field,original_value,new_value,bbox,mrz_consistent
passports\genuine\passport_001.png,passport,genuine,,,,,,True
passports\tampered\passport_001_text_block.png,passport,tampered,text_block,place_of_issue,TESTPUR,NEW TESTON,"267,420,422,444",False
passports\tampered\passport_001_expiry.png,passport,tampered,expiry,expiry,21/11/2028,18/11/2028,"656,360,772,384",True
visas\genuine\visa_001.png,visa,genuine,,,,,,True
visas\tampered\visa_001_photo.png,visa,tampered,photo,photo,photo_v0,photo_v1,"37,97,203,303",
visas\tampered\visa_001_name.png,visa,tampered,name,name,RAHUL GUPTA,RAHUL BHATIA,"238,168,395,191",
passports\genuine\passport_002.png,passport,genuine,,,,,,True
passports\tampered\passport_002_expiry.png,passport,tampered,expiry,expiry,03/06/2033,03/06/2034,"657,360,773,384",True
passports\tampered\passport_002_name.png,passport,tampered,name,given_name,NEHA,VAISHNAVI,"266,236,396,260",True
visas\genuine\visa_002.png,visa,genuine,,,,,,True
visas\tampered\visa_002_stamp.png,visa,tampered,stamp,stamp,18 MAR 2026,18 MAR 2027,"690,360,930,600",
visas\tampered\visa_002_photo.png,visa,tampered,photo,photo,photo_v0,photo_v1,"37,97,203,303",
passports\genuine\passport_003.png,passport,genuine,,,,,,True
passports\tampered\passport_003_expiry.png,passport,tampered,expiry,expiry,20/01/2032,20/01/2030,"658,360,774,384",True
passports\tampered\passport_003_dob.png,passport,tampered,dob,dob,09/09/2004,08/09/2004,"264,296,380,320",False
visas\genuine\visa_003.png,visa,genuine,,,,,,True
visas\tampered\visa_003_photo.png,visa,tampered,photo,photo,photo_v0,photo_v1,"37,97,203,303",
visas\tampered\visa_003_name.png,visa,tampered,name,name,ANJALI SNEHA AGARWAL,ANJALI SNEHA NAIR,"236,173,444,196",
passports\genuine\passport_004.png,passport,genuine,,,,,,True
passports\tampered\passport_004_expiry.png,passport,tampered,expiry,expiry,06/02/2031,06/02/2033,"655,361,771,385",True
passports\tampered\passport_004_photo.png,passport,tampered,photo,photo,photo_v0,photo_v1,"37,97,233,343",True
visas\genuine\visa_004.png,visa,genuine,,,,,,True
visas\tampered\visa_004_name.png,visa,tampered,name,name,SNEHA SAXENA,SNEHA MEHTA,"235,168,388,191",
